input_F,input_R,filtered_F,filtered_R,denoised_F,denoised_R,merged_F,merged_R,tabled_F,tabled_R,tabled_together,nonchim
266,218,138,108,191,96,175,80,175,80,255,255
219,184,116,90,170,83,157,77,157,77,234,234
310,261,200,162,224,126,180,120,180,120,300,300
325,253,188,144,234,131,229,110,229,110,339,339
176,158,108,89,133,71,129,62,129,62,191,191
264,211,146,109,186,84,182,71,182,71,253,253
388,323,233,184,302,164,276,154,276,154,430,430
168,127,73,54,110,39,110,39,110,39,149,149
203,156,149,111,133,97,117,81,117,81,198,198
159,125,86,70,109,50,109,44,109,44,153,153
303,250,202,154,235,131,221,125,221,125,346,346
369,308,156,119,281,94,255,87,255,87,342,342
296,246,145,121,231,114,224,112,224,112,336,336
294,231,123,89,202,64,174,41,174,41,215,215
307,256,140,116,223,96,209,87,209,87,296,296
265,228,160,132,178,94,157,68,157,68,225,225
253,222,159,134,198,101,189,92,189,92,281,281
225,184,110,87,164,72,139,69,139,69,208,208
242,204,178,145,170,125,168,114,168,114,282,282
245,193,159,129,175,112,133,85,133,85,218,218
312,245,164,124,218,92,210,89,210,89,299,299
172,148,76,66,136,56,127,50,127,50,177,177
196,161,164,134,134,120,128,111,128,111,239,239
247,207,129,107,189,95,182,82,182,82,264,264
259,225,150,130,212,116,198,108,198,108,306,306
203,173,69,53,145,35,132,33,132,33,165,165
266,223,137,114,205,110,197,97,197,97,294,294
196,169,91,75,156,69,145,65,145,65,210,210
259,186,130,96,157,80,143,68,143,68,211,211
283,219,163,132,197,115,181,101,181,101,282,282
212,159,132,95,137,86,124,62,124,62,186,186
235,202,149,121,189,113,174,110,174,110,284,284
315,270,249,202,253,182,245,173,245,173,418,418
247,204,165,128,192,124,183,114,183,114,297,297
197,153,81,58,134,49,128,48,128,48,176,176
182,128,145,111,115,93,115,90,115,90,205,205
149,127,90,72,90,48,85,32,85,32,117,117
346,276,191,156,251,128,214,108,214,108,322,322
147,126,99,85,107,79,99,69,99,69,168,168
199,104,69,44,102,44,95,35,95,35,130,130
225,188,121,99,161,81,150,73,150,73,223,223
262,220,155,125,188,98,181,92,181,92,273,273
307,261,162,122,244,101,213,97,213,97,310,310
210,181,117,99,164,85,154,73,154,73,227,227
266,226,152,129,214,116,209,101,209,101,310,310
183,148,113,99,130,79,113,75,113,75,188,188
292,246,201,157,196,129,133,114,133,114,247,247
248,200,196,161,186,148,178,135,178,135,313,313
305,248,192,149,206,125,143,122,143,122,265,265
174,148,91,70,126,63,121,59,121,59,180,180
230,156,216,154,143,139,136,112,136,112,248,248
272,118,156,100,118,100,111,100,111,100,211,211
258,226,165,129,190,101,165,96,165,96,261,250
233,195,128,96,172,75,155,74,155,74,229,229
206,172,98,74,135,53,66,41,66,41,107,107
237,202,110,81,179,74,171,70,171,70,241,241
199,157,124,92,141,76,133,75,133,75,208,208
452,370,299,237,354,217,340,206,340,206,546,546
139,114,84,67,102,59,99,45,99,45,144,144
176,146,98,77,121,45,119,44,119,44,163,163
153,67,102,54,67,54,57,52,57,52,109,109
178,151,121,88,113,65,99,57,99,57,156,156
148,111,136,102,89,89,34,87,34,87,121,121
760,645,472,369,587,322,550,234,550,234,784,784
193,162,123,95,133,63,115,43,115,43,158,158
211,178,102,87,158,73,146,66,146,66,212,212
257,176,187,119,146,95,139,92,139,92,231,231
278,224,134,99,203,89,79,43,79,43,122,122
364,262,220,165,240,140,239,132,239,132,371,371
164,128,135,97,108,85,104,75,104,75,179,179
293,222,196,154,209,136,199,132,199,132,331,331
345,272,235,191,238,159,175,113,175,113,288,288
157,132,134,109,122,100,113,87,113,87,200,200
211,174,118,91,167,86,154,83,154,83,237,237
465,359,398,318,308,287,264,249,264,249,513,513
151,119,78,59,97,33,38,26,38,26,64,64
304,235,221,159,204,131,186,129,186,129,315,315
158,127,96,67,115,50,111,40,111,40,151,151
190,156,91,71,145,66,139,60,139,60,199,199
162,123,110,83,94,64,61,41,61,41,102,102
234,193,140,106,176,97,172,85,172,85,257,257
220,168,133,96,150,80,135,80,135,80,215,215
216,178,130,108,159,95,144,88,144,88,232,232
232,189,144,106,166,74,149,53,149,53,202,202
184,159,108,82,149,72,139,70,139,70,209,209
305,259,213,168,241,140,238,134,238,134,372,372
221,161,158,102,137,86,129,84,129,84,213,213
170,135,106,82,127,76,120,76,120,76,196,196
332,266,115,87,231,64,223,52,223,52,275,275
233,178,222,171,142,136,135,128,135,128,263,263
317,267,188,148,243,141,224,120,224,120,344,344
230,192,160,123,163,93,124,92,124,92,216,216
312,246,215,175,213,151,197,143,197,143,340,340
